created_at,val_loss
2020-03-18 18:01:38.026725,
2020-03-18 18:01:38.092406,
2020-03-18 18:01:38.150978,
2020-03-18 18:01:38.209754,
2020-03-18 18:01:38.270159,
2020-03-18 18:01:38.332709,
2020-03-18 18:01:38.391801,
2020-03-18 18:01:38.451251,
2020-03-18 18:01:38.511466,
2020-03-18 18:01:38.570503,
2020-03-18 18:01:38.631397,
2020-03-18 18:01:38.691899,
2020-03-18 18:01:38.755290,
2020-03-18 18:01:38.816593,
2020-03-18 18:01:38.882059,
2020-03-18 18:01:38.951663,
2020-03-18 18:01:39.015536,
2020-03-18 18:01:39.077876,
2020-03-18 18:01:39.142189,
2020-03-18 18:01:39.205691,
2020-03-18 18:01:39.272175,
2020-03-18 18:01:39.337698,
2020-03-18 18:01:39.399656,
2020-03-18 18:01:39.461110,
2020-03-18 18:01:39.520190,
2020-03-18 18:01:39.577485,
2020-03-18 18:01:39.636333,
2020-03-18 18:01:39.694150,
2020-03-18 18:01:39.752108,
2020-03-18 18:01:39.813705,
2020-03-18 18:01:39.875277,
2020-03-18 18:01:39.936420,
2020-03-18 18:01:39.997329,
2020-03-18 18:01:40.054592,
2020-03-18 18:01:40.110984,
2020-03-18 18:01:40.167664,
2020-03-18 18:01:40.227342,
2020-03-18 18:01:40.287632,
2020-03-18 18:01:40.351617,
2020-03-18 18:01:40.413637,
2020-03-18 18:01:40.473436,
2020-03-18 18:01:40.530901,
2020-03-18 18:01:40.587695,
2020-03-18 18:01:40.644783,
2020-03-18 18:01:40.704513,
2020-03-18 18:01:40.764857,
2020-03-18 18:01:40.823975,
2020-03-18 18:01:40.881945,
2020-03-18 18:01:40.943348,
2020-03-18 18:01:41.004274,
2020-03-18 18:01:41.066153,
2020-03-18 18:01:41.125804,
2020-03-18 18:01:41.186018,
2020-03-18 18:01:41.246238,
2020-03-18 18:01:41.306628,
2020-03-18 18:01:41.370854,
2020-03-18 18:01:41.435635,
2020-03-18 18:01:41.499408,
2020-03-18 18:01:41.562775,
2020-03-18 18:01:41.625466,
2020-03-18 18:01:41.689253,
2020-03-18 18:01:41.748737,
2020-03-18 18:01:41.807245,
2020-03-18 18:01:41.865291,
2020-03-18 18:01:41.923282,
2020-03-18 18:01:41.982906,
2020-03-18 18:01:42.046089,
2020-03-18 18:01:42.105941,
2020-03-18 18:01:42.166489,
2020-03-18 18:01:42.228857,
2020-03-18 18:01:42.293527,
2020-03-18 18:01:42.354511,
2020-03-18 18:01:42.412776,
2020-03-18 18:01:42.472644,
2020-03-18 18:01:42.530815,
2020-03-18 18:01:42.593809,
2020-03-18 18:01:42.653915,
2020-03-18 18:01:42.715174,
2020-03-18 18:01:42.777536,
2020-03-18 18:01:42.840825,
2020-03-18 18:01:42.906517,
2020-03-18 18:01:42.968230,
2020-03-18 18:01:43.029484,
2020-03-18 18:01:43.092524,
2020-03-18 18:01:43.155418,
2020-03-18 18:01:43.213397,
2020-03-18 18:01:43.270458,
2020-03-18 18:01:43.327016,
2020-03-18 18:01:43.383325,
2020-03-18 18:01:43.439619,
2020-03-18 18:01:43.498125,
2020-03-18 18:01:43.561478,
2020-03-18 18:01:43.622376,
2020-03-18 18:01:43.681906,
2020-03-18 18:01:43.742711,
2020-03-18 18:01:43.803031,
2020-03-18 18:01:43.862579,
2020-03-18 18:01:43.922935,
2020-03-18 18:01:43.984652,
2020-03-18 18:01:44.046865,
2020-03-18 18:01:44.110335,
2020-03-18 18:01:44.167802,
2020-03-18 18:01:44.224744,
2020-03-18 18:01:44.282328,
2020-03-18 18:01:44.340557,
2020-03-18 18:01:44.397729,
2020-03-18 18:01:44.458017,
2020-03-18 18:01:44.517732,
2020-03-18 18:01:44.576700,
2020-03-18 18:01:44.636423,
2020-03-18 18:01:44.697133,
2020-03-18 18:01:44.758079,
2020-03-18 18:01:44.821880,
2020-03-18 18:01:44.884670,
2020-03-18 18:01:44.948519,
2020-03-18 18:01:45.019270,
2020-03-18 18:01:45.080622,
2020-03-18 18:01:45.139380,
2020-03-18 18:01:45.197380,
2020-03-18 18:01:45.255753,
2020-03-18 18:01:45.317753,
2020-03-18 18:01:45.378749,
2020-03-18 18:01:45.439652,
2020-03-18 18:01:45.500821,
2020-03-18 18:01:45.561946,
2020-03-18 18:01:45.625085,
2020-03-18 18:01:45.684972,
2020-03-18 18:01:45.746313,
2020-03-18 18:01:45.808355,
2020-03-18 18:01:45.867814,
2020-03-18 18:01:45.933054,
2020-03-18 18:01:45.993254,
2020-03-18 18:01:46.052549,
2020-03-18 18:01:46.117339,
2020-03-18 18:01:46.177024,
2020-03-18 18:01:46.237309,
2020-03-18 18:01:46.297952,
2020-03-18 18:01:46.358512,
2020-03-18 18:01:46.419538,
2020-03-18 18:01:46.480645,
2020-03-18 18:01:46.543148,
2020-03-18 18:01:46.604334,
2020-03-18 18:01:46.665855,
2020-03-18 18:01:46.725500,
2020-03-18 18:01:46.787103,
2020-03-18 18:01:46.846811,
2020-03-18 18:01:46.907863,
2020-03-18 18:01:46.966268,
2020-03-18 18:01:47.029224,
2020-03-18 18:01:47.090238,
2020-03-18 18:01:47.153258,
2020-03-18 18:01:47.210507,
2020-03-18 18:01:47.268457,
2020-03-18 18:01:47.328058,
2020-03-18 18:01:47.386367,
2020-03-18 18:01:47.449319,
2020-03-18 18:01:47.512798,
2020-03-18 18:01:47.572875,
2020-03-18 18:01:47.631714,
2020-03-18 18:01:47.691708,
2020-03-18 18:01:47.754882,
2020-03-18 18:01:47.817436,
2020-03-18 18:01:47.881008,
2020-03-18 18:01:47.940609,
